domain,display_name,generation_seed,trace_pool_size,run_status,metric,logicompgen_mean,logicompgen_median,logicompgen_within_seed_sd,logicompgen_ci95_lower,logicompgen_ci95_upper,gpt5_mini_value,proportion_logicompgen_greater,proportion_logicompgen_greater_or_equal
financial,Financial Services,123,1400,converged,atc,0.7009875,0.703125,0.025072858940506666,0.640625,0.75,0.234375,1.0,1.0
financial,Financial Services,2026,1240,converged,unique_2gram_count,44.8251,45.0,1.6177056862015158,41.0,48.0,15.0,1.0,1.0
financial,Financial Services,2026,1240,converged,2gram_novelty_ratio,0.16008964285714286,0.16071428571428573,0.0057775203078625536,0.14642857142857144,0.17142857142857143,0.09933774834437085,1.0,1.0
financial,Financial Services,2026,1240,converged,unique_3gram_count,118.8597,119.0,6.656128477924045,106.0,132.0,28.0,1.0,1.0
financial,Financial Services,2026,1240,converged,3gram_novelty_ratio,0.49524875,0.49583333333333335,0.027733868658016855,0.44166666666666665,0.55,0.25,1.0,1.0
financial,Financial Services,2026,1240,converged,unique_4gram_count,152.4568,153.0,7.922878956610161,136.0,167.0,37.0,1.0,1.0
financial,Financial Services,2026,1240,converged,4gram_novelty_ratio,0.762284,0.765,0.039614394783050816,0.68,0.835,0.49333333333333335,1.0,1.0
financial,Financial Services,2026,1240,converged,atc,0.7003921875,0.703125,0.025276651346898684,0.640625,0.75,0.234375,1.0,1.0
tele_healthcare,Tele-Healthcare,42,3840,converged,unique_2gram_count,73.7896,74.0,4.3989165582775795,65.0,82.0,48.0,1.0,1.0
tele_healthcare,Tele-Healthcare,42,3840,converged,2gram_novelty_ratio,0.2635342857142857,0.2642857142857143,0.015710416279562787,0.23214285714285715,0.29285714285714287,0.19123505976095617,1.0,1.0
tele_healthcare,Tele-Healthcare,42,3840,converged,unique_3gram_count,131.1802,131.0,8.755455085795138,114.0,148.0,91.0,1.0,1.0
tele_healthcare,Tele-Healthcare,42,3840,converged,3gram_novelty_ratio,0.5465841666666666,0.5458333333333333,0.03648106285747974,0.475,0.6166666666666667,0.4312796208530806,0.9995,0.9995
tele_healthcare,Tele-Healthcare,42,3840,converged,unique_4gram_count,146.0015,146.0,9.266999810000422,127.0,163.0,118.0,0.9986,0.999
tele_healthcare,Tele-Healthcare,42,3840,converged,4gram_novelty_ratio,0.7300075,0.73,0.046334999050002115,0.635,0.815,0.6900584795321637,0.7942,0.7942
tele_healthcare,Tele-Healthcare,42,3840,converged,atc,0.43662485207100593,0.4378698224852071,0.026029092060814083,0.38461538461538464,0.48520710059171596,0.28402366863905326,1.0,1.0
tele_healthcare,Tele-Healthcare,123,4600,converged,unique_2gram_count,73.4386,74.0,4.420450664627741,65.0,82.0,48.0,1.0,1.0
tele_healthcare,Tele-Healthcare,123,4600,converged,2gram_novelty_ratio,0.2622807142857143,0.2642857142857143,0.015787323802241935,0.23214285714285715,0.29285714285714287,0.19123505976095617,1.0,1.0
tele_healthcare,Tele-Healthcare,123,4600,converged,unique_3gram_count,130.7855,131.0,8.710721980280496,114.0,148.0,91.0,1.0,1.0
tele_healthcare,Tele-Healthcare,123,4600,converged,3gram_novelty_ratio,0.5449395833333334,0.5458333333333333,0.036294674917835404,0.475,0.6166666666666667,0.4312796208530806,0.999,0.999
tele_healthcare,Tele-Healthcare,123,4600,converged,unique_4gram_count,145.9617,146.0,9.2282040010453,127.0,163.0,118.0,0.9966,0.9975
tele_healthcare,Tele-Healthcare,123,4600,converged,4gram_novelty_ratio,0.7298085,0.73,0.046141020005226505,0.635,0.815,0.6900584795321637,0.7929,0.7929
tele_healthcare,Tele-Healthcare,123,4600,converged,atc,0.43454792899408284,0.4378698224852071,0.026156512808448173,0.38461538461538464,0.48520710059171596,0.28402366863905326,1.0,1.0
tele_healthcare,Tele-Healthcare,2026,3600,converged,unique_2gram_count,73.2558,73.0,4.328168164936108,65.0,82.0,48.0,1.0,1.0
tele_healthcare,Tele-Healthcare,2026,3600,converged,2gram_novelty_ratio,0.26162785714285713,0.26071428571428573,0.015457743446200387,0.23214285714285715,0.29285714285714287,0.19123505976095617,1.0,1.0
tele_healthcare,Tele-Healthcare,2026,3600,converged,unique_3gram_count,131.1017,131.0,8.48978001755491,114.0,147.0,91.0,1.0,1.0
tele_healthcare,Tele-Healthcare,2026,3600,converged,3gram_novelty_ratio,0.5462570833333333,0.5458333333333333,0.03537408340647879,0.475,0.6125,0.4312796208530806,0.999,0.999
tele_healthcare,Tele-Healthcare,2026,3600,converged,unique_4gram_count,146.8487,147.0,9.059261301647787,129.0,164.0,118.0,0.9981,0.9988
tele_healthcare,Tele-Healthcare,2026,3600,converged,4gram_novelty_ratio,0.7342435,0.735,0.04529630650823894,0.645,0.82,0.6900584795321637,0.8227,0.8227
tele_healthcare,Tele-Healthcare,2026,3600,converged,atc,0.43346627218934913,0.4319526627218935,0.02561046251441484,0.38461538461538464,0.48520710059171596,0.28402366863905326,1.0,1.0
smart_home,Smart Home IoT,42,5000,max_limit_reached_without_convergence,unique_2gram_count,97.9548,98.0,4.309502771946451,89.0,106.0,51.0,1.0,1.0
smart_home,Smart Home IoT,42,5000,max_limit_reached_without_convergence,2gram_novelty_ratio,0.34983857142857144,0.35,0.015391081328380183,0.31785714285714284,0.37857142857142856,0.17465753424657535,1.0,1.0
smart_home,Smart Home IoT,42,5000,max_limit_reached_without_convergence,unique_3gram_count,189.5791,190.0,6.829319669682704,176.0,202.0,105.0,1.0,1.0
smart_home,Smart Home IoT,42,5000,max_limit_reached_without_convergence,3gram_novelty_ratio,0.7899129166666666,0.7916666666666666,0.02845549862367793,0.7333333333333333,0.8416666666666667,0.4166666666666667,1.0,1.0
smart_home,Smart Home IoT,42,5000,max_limit_reached_without_convergence,unique_4gram_count,189.3976,190.0,3.9920305448214046,181.0,196.0,147.0,1.0,1.0
smart_home,Smart Home IoT,42,5000,max_limit_reached_without_convergence,4gram_novelty_ratio,0.9469879999999999,0.95,0.019960152724107,0.905,0.98,0.6933962264150944,1.0,1.0
smart_home,Smart Home IoT,42,5000,max_limit_reached_without_convergence,atc,0.579614201183432,0.5798816568047337,0.025500016402050005,0.5266272189349113,0.6272189349112426,0.30177514792899407,1.0,1.0
smart_home,Smart Home IoT,123,5000,max_limit_reached_without_convergence,unique_2gram_count,97.8391,98.0,4.25043736711661,89.0,106.0,51.0,1.0,1.0
smart_home,Smart Home IoT,123,5000,max_limit_reached_without_convergence,2gram_novelty_ratio,0.34942535714285716,0.35,0.015180133453987893,0.31785714285714284,0.37857142857142856,0.17465753424657535,1.0,1.0
smart_home,Smart Home IoT,123,5000,max_limit_reached_without_convergence,unique_3gram_count,189.5315,190.0,6.808982594661073,176.0,202.0,105.0,1.0,1.0
smart_home,Smart Home IoT,123,5000,max_limit_reached_without_convergence,3gram_novelty_ratio,0.7897145833333333,0.7916666666666666,0.028370760811087806,0.7333333333333333,0.8416666666666667,0.4166666666666667,1.0,1.0
smart_home,Smart Home IoT,123,5000,max_limit_reached_without_convergence,unique_4gram_count,189.3878,190.0,3.966986873999692,181.0,196.0,147.0,1.0,1.0
smart_home,Smart Home IoT,123,5000,max_limit_reached_without_convergence,4gram_novelty_ratio,0.946939,0.95,0.019834934369998437,0.905,0.98,0.6933962264150944,1.0,1.0
smart_home,Smart Home IoT,123,5000,max_limit_reached_without_convergence,atc,0.5789295857988166,0.5798816568047337,0.025150516965187043,0.5266272189349113,0.6272189349112426,0.30177514792899407,1.0,1.0
smart_home,Smart Home IoT,2026,5000,max_limit_reached_without_convergence,unique_2gram_count,97.9592,98.0,4.290684835505372,89.0,106.0,51.0,1.0,1.0
smart_home,Smart Home IoT,2026,5000,max_limit_reached_without_convergence,2gram_novelty_ratio,0.34985428571428573,0.35,0.015323874412519188,0.31785714285714284,0.37857142857142856,0.17465753424657535,1.0,1.0
smart_home,Smart Home IoT,2026,5000,max_limit_reached_without_convergence,unique_3gram_count,189.4036,190.0,6.849948847978501,175.0,202.0,105.0,1.0,1.0
smart_home,Smart Home IoT,2026,5000,max_limit_reached_without_convergence,3gram_novelty_ratio,0.7891816666666667,0.7916666666666666,0.028541453533243753,0.7291666666666666,0.8416666666666667,0.4166666666666667,1.0,1.0
smart_home,Smart Home IoT,2026,5000,max_limit_reached_without_convergence,unique_4gram_count,189.2042,190.0,4.007431635203661,180.0,196.0,147.0,1.0,1.0
smart_home,Smart Home IoT,2026,5000,max_limit_reached_without_convergence,4gram_novelty_ratio,0.946021,0.95,0.02003715817601828,0.9,0.98,0.6933962264150944,1.0,1.0
smart_home,Smart Home IoT,2026,5000,max_limit_reached_without_convergence,atc,0.5796402366863905,0.5798816568047337,0.025388667665712263,0.5266272189349113,0.6272189349112426,0.30177514792899407,1.0,1.0
